80.119.195.142,1.20.133.251
158.0.153.56,1.36.4.155
232.203.132.209,1.234.108.145
191.171.232.97,1.145.86.98
157.208.152.15,1.158.0.82
129.19.145.122,1.101.142.155
120.109.48.131,1.209.77.128
202.14.54.203,1.228.41.218
94.40.53.6,1.1.68.160
86.142.213.211,1.78.182.11
227.17.217.207,1.155.196.98
250.150.38.85,1.5.208.4
178.23.52.2,1.142.197.59
38.44.105.159,1.193.48.154
177.160.92.37,1.68.58.90
142.24.222.85,1.109.126.232
140.78.34.129,1.41.63.114
206.223.56.121,1.28.12.57
140.242.149.157,1.112.175.20
125.235.216.254,1.50.118.225
169.103.234.214,1.112.183.206
68.196.191.41,1.87.92.143
200.36.42.50,1.238.198.67
3.57.79.46,1.38.237.140
46.161.24.130,1.184.109.64
30.45.195.110,1.208.63.167
244.86.10.235,1.124.182.186
163.200.179.28,1.46.240.107
138.113.197.218,1.221.43.46
207.44.255.100,1.127.145.177
137.235.29.231,1.240.47.113
156.88.60.54,1.125.217.214
185.220.194.255,1.58.109.193
30.247.232.3,1.7.149.17
57.117.144.109,1.164.112.203
119.228.61.128,1.108.82.30
96.30.4.173,1.117.255.24
152.169.15.217,1.214.120.130
28.141.201.120,1.116.150.109
114.160.215.207,1.200.223.23
249.75.177.124,1.48.75.145
47.190.40.17,1.63.12.87
36.50.209.83,1.242.248.238
240.62.103.199,1.21.98.237
130.253.85.41,1.213.69.149
87.214.84.97,1.135.51.19
155.166.10.83,1.214.134.82
222.18.186.136,1.51.2.71
156.190.223.98,1.164.216.236
200.0.51.92,1.157.32.181
10.51.156.29,1.133.242.81
59.36.161.27,1.27.204.44
248.142.129.205,1.12.14.199
218.223.16.84,1.114.29.53
129.231.57.177,1.67.116.41
115.239.81.104,1.46.32.22
8.232.168.183,1.208.169.30
212.227.121.184,1.58.211.240
220.200.66.123,1.60.153.112
142.160.78.191,1.145.129.39
140.221.113.176,1.51.229.64
244.108.170.123,1.210.186.34
103.177.72.224,1.49.165.33
251.237.237.129,1.201.250.25
226.39.25.123,1.144.188.98
58.9.23.137,1.215.85.181
55.102.206.218,1.96.110.88
62.62.45.52,1.6.109.200
216.0.217.196,1.184.139.229
58.179.140.211,1.2.249.176
180.64.119.234,1.0.11.218
227.240.187.214,1.248.219.5
6.196.70.107,1.179.147.218
110.174.164.251,1.106.12.219
48.33.223.31,1.133.212.53
115.240.147.41,1.129.190.233
38.205.152.223,1.157.58.240
140.73.231.35,1.189.92.103
65.90.78.239,1.128.226.73
48.108.55.122,1.245.236.196
70.77.149.76,1.42.82.77
242.241.4.55,1.240.248.125
133.186.43.184,1.52.134.207
3.160.119.183,1.235.139.54
149.240.142.241,1.121.204.220
48.46.45.42,1.112.242.4
142.0.246.232,1.54.208.194
185.115.41.34,1.6.197.159
130.210.86.122,1.53.77.255
27.102.166.103,1.40.122.51
25.15.46.190,1.138.45.211
165.236.31.55,1.24.72.108
188.234.244.131,1.194.110.147
13.219.185.179,1.67.149.245
35.202.116.112,1.237.10.166
168.207.73.35,1.62.99.222
25.124.204.163,1.94.251.211
228.169.132.181,1.33.200.203
177.243.148.236,1.171.46.240
213.121.246.105,1.46.62.175
4.245.20.92,1.15.26.82
220.218.8.119,1.239.39.175
84.56.54.34,1.198.103.226
5.32.163.56,1.196.30.211
237.24.187.184,1.234.223.114
187.183.155.155,1.214.54.235
143.162.74.81,1.46.182.235
42.203.255.128,1.38.169.43
203.149.142.12,1.120.71.86
111.179.119.162,1.100.16.207
10.81.85.72,1.179.5.81
182.151.193.126,1.131.7.158
251.145.187.222,1.219.145.79
53.16.170.13,1.157.168.71
86.237.154.60,1.116.60.130
218.251.79.150,1.147.242.225
146.177.128.171,1.218.74.73
77.220.81.54,1.148.76.208
206.169.133.19,1.249.161.77
134.53.154.27,1.101.53.35
60.26.167.160,1.107.25.83
210.93.33.7,1.200.100.102
169.172.27.226,1.42.120.3
9.183.27.79,1.83.111.105
96.248.16.147,1.76.229.48
215.21.113.214,1.224.130.125
241.165.91.111,1.235.172.11
76.74.180.48,1.110.53.23
230.121.50.52,1.111.241.95
167.229.118.137,1.19.126.76
89.112.11.45,1.236.31.41
187.192.223.167,1.82.79.105
14.216.93.217,1.153.161.207
152.24.217.130,1.107.209.52
0.74.18.152,1.18.120.139
20.52.140.70,1.249.89.201
0.186.124.152,1.75.36.40
202.166.33.79,1.151.96.184
177.244.87.108,1.26.50.227
57.195.204.248,1.160.69.54
161.35.158.37,1.185.149.30
78.23.187.160,1.160.50.153
158.198.166.96,1.139.25.34
155.136.13.211,1.147.222.246
78.200.220.18,1.224.175.17
152.133.102.115,1.225.30.83
94.38.124.177,1.15.252.120
133.184.20.181,1.147.36.229
108.159.149.98,1.190.89.5
207.76.178.52,1.54.235.148
81.152.165.39,1.108.187.51
49.12.1.53,1.209.80.6
121.26.8.8,1.77.68.124
84.223.64.107,1.147.67.58
228.79.91.159,1.221.13.201
219.94.245.247,1.169.155.80
51.83.162.151,1.130.125.64
103.168.235.78,1.70.208.83
100.64.176.68,1.255.234.61
19.236.14.110,1.0.108.13
225.218.243.242,1.240.7.177
27.153.64.4,1.214.225.155
236.16.168.144,1.89.59.216
84.69.50.84,1.192.215.71
199.31.106.30,1.206.169.221
217.18.246.57,1.246.19.25
241.182.175.40,1.129.124.60
53.251.38.138,1.213.250.215
102.42.90.214,1.88.151.93
113.82.217.227,1.245.143.168
54.78.203.175,1.242.93.185
193.195.196.95,1.106.213.172
98.54.136.217,1.99.204.174
253.98.57.244,1.40.78.239
72.25.128.110,1.127.183.219
176.61.113.236,1.77.255.193
7.224.115.253,1.50.181.30
201.251.54.237,1.250.13.164
190.193.85.176,1.98.123.91
39.80.210.88,1.149.138.4
10.11.58.100,1.220.8.36
112.233.62.238,1.17.252.151
199.55.240.145,1.141.204.94
221.53.240.139,1.165.232.145
15.252.42.107,1.238.104.195
78.199.230.142,1.161.121.39
28.96.230.182,1.202.224.120
56.209.143.224,1.237.251.91
182.138.49.196,1.112.151.84
12.113.157.219,1.217.67.177
195.38.22.113,1.123.232.7
224.147.148.147,1.252.216.22
221.115.37.36,1.62.73.214
107.119.119.48,1.51.129.5
186.153.31.72,1.34.172.93
31.36.49.179,1.247.18.92
239.37.190.104,1.122.33.157
68.221.233.65,1.168.1.134
15.81.149.187,1.94.114.158
83.247.13.80,1.108.245.116
183.50.95.251,1.8.208.24
15.30.147.37,1.10.50.199
144.10.167.218,1.51.120.74
119.110.34.118,1.146.78.2
4.237.144.179,1.117.213.237
116.22.75.14,1.123.110.31
112.173.11.125,1.203.206.75
70.165.33.252,1.228.250.253
181.155.200.244,1.79.73.129
47.225.82.169,1.138.66.206
8.68.142.243,1.3.246.134
55.38.30.195,1.221.234.148
102.145.69.40,1.135.189.157
44.80.21.246,1.68.119.109
79.183.195.58,1.151.221.181
210.77.90.182,1.175.229.193
31.230.244.184,1.107.99.88
72.113.194.43,1.184.0.18
132.198.68.23,1.96.22.49
155.180.17.76,1.208.89.114
77.114.23.203,1.180.140.183
83.227.202.145,1.145.123.92
233.160.16.138,1.43.219.3
105.42.12.57,1.35.80.157
84.17.205.4,1.235.167.248
126.187.24.10,1.150.147.27
211.54.249.93,1.136.195.250
161.47.10.232,1.156.142.238
179.6.153.203,1.153.66.98
37.120.95.22,1.45.24.25
66.208.16.205,1.22.98.113
68.90.200.237,1.67.44.26
137.100.110.213,1.187.172.100
168.251.136.126,1.10.19.166
223.190.32.122,1.112.84.177
182.146.42.166,1.143.108.130
19.194.61.151,1.132.250.185
101.153.12.216,1.59.201.127
78.75.211.124,1.251.133.170
89.10.140.113,1.32.239.141
57.125.21.166,1.179.141.44
203.197.46.77,1.16.188.155
49.251.191.87,1.74.211.200
101.223.11.186,1.140.216.119
71.18.230.30,1.33.138.131
42.52.49.73,1.219.235.161
89.220.104.106,1.113.50.31
108.37.132.196,1.145.229.191
49.181.10.8,1.132.10.145
74.91.21.138,1.18.83.98
13.242.235.135,1.104.24.121
99.56.92.52,1.148.51.174
109.47.153.186,1.79.233.86
59.214.204.134,1.153.216.103
17.184.151.198,1.120.78.221
149.241.250.183,1.69.251.83
210.32.117.168,1.88.55.185
24.224.59.251,1.217.189.148
184.248.200.28,1.54.254.78
163.144.22.252,1.26.118.159
11.221.15.195,1.172.19.188
128.156.11.226,1.195.137.182
141.149.182.210,1.28.32.78
217.68.171.178,1.18.192.128
155.18.61.154,1.254.214.7
227.18.49.53,1.116.145.253
113.190.238.254,1.186.96.223
2.244.14.16,1.67.84.244
112.204.54.142,1.25.217.40
89.245.168.81,1.23.97.107
244.21.76.14,1.180.184.27
244.94.21.12,1.91.111.245
94.234.27.27,1.60.147.7
4.242.100.165,1.105.119.25
103.6.206.123,1.82.79.40
78.154.165.181,1.164.170.213
7.22.88.178,1.125.253.193
149.173.114.37,1.28.218.57
153.8.18.165,1.141.199.184
84.204.117.224,1.90.82.204
200.39.11.167,1.202.197.148
112.198.221.76,1.48.25.148
91.141.133.249,1.217.19.161
17.64.90.132,1.70.217.33
18.58.84.86,1.34.200.202
95.202.91.176,1.170.4.92
198.5.36.255,1.24.62.253
180.129.193.191,1.232.224.7
14.121.255.33,1.86.211.151
247.162.189.70,1.90.124.38
238.53.181.22,1.30.140.199
2.5.43.227,1.38.158.199
199.41.220.19,1.85.129.243
41.43.224.127,1.28.20.24
103.43.204.211,1.90.215.168
65.100.234.8,1.105.88.53
146.178.78.156,1.9.57.146
118.242.111.23,1.32.18.222
145.222.107.85,1.80.118.74
176.81.232.225,1.38.24.118
72.214.247.115,1.238.174.143
219.190.255.127,1.12.196.105
117.175.227.234,1.230.195.27
43.165.133.179,1.238.120.8
26.229.168.11,1.36.73.146
46.135.118.31,1.152.79.11
161.218.19.195,1.249.92.244
251.192.178.24,1.50.27.80
64.95.190.139,1.180.183.76
64.173.36.3,1.130.143.217
112.49.133.218,1.171.31.78
139.56.111.104,1.122.92.44
219.55.123.108,1.88.231.51
239.77.173.23,1.88.81.53
213.227.98.83,1.6.242.219
145.116.193.200,1.2.31.150
177.188.38.24,1.55.231.6
154.121.68.35,1.185.126.225
182.2.11.150,1.169.37.214
27.15.81.197,1.133.76.61
218.33.231.183,1.87.174.27
58.25.230.21,1.149.21.110
65.236.232.49,1.101.228.248
144.131.240.109,1.95.231.146
95.176.113.88,1.158.32.125
103.119.176.101,1.44.173.22
87.252.253.102,1.115.109.103
182.68.255.234,1.56.34.10
53.74.151.143,1.250.44.20
253.170.56.53,1.143.18.188
158.131.149.26,1.246.91.87
15.125.86.255,1.52.127.49
148.226.250.185,1.157.210.210
88.37.100.99,1.114.179.23
105.97.94.108,1.222.182.62
93.218.206.152,1.28.56.185
96.134.42.127,1.15.76.37
94.222.25.228,1.18.52.158
229.215.157.99,1.78.239.217
133.14.17.242,1.38.30.204
222.120.181.196,1.164.91.245
138.109.60.212,1.153.162.191
244.185.189.97,1.239.8.26
137.103.157.10,1.60.132.171
32.171.240.129,1.119.130.59
106.69.61.240,1.239.38.19
188.91.90.218,1.148.240.161
11.16.236.19,1.163.11.248
174.91.127.169,1.168.234.191
188.88.236.128,1.192.184.161
56.11.177.166,1.44.132.178
86.103.207.172,1.239.48.65
94.144.135.166,1.69.24.51
77.80.173.51,1.121.161.31
140.121.157.10,1.122.69.115
149.92.170.233,1.34.253.185
109.147.187.102,1.143.214.164
17.217.22.162,1.225.125.240
181.222.74.53,1.232.161.151
90.170.96.133,1.236.92.25
65.180.20.80,1.30.30.205
91.71.90.58,1.226.3.29
223.157.45.53,1.200.8.234
32.92.207.123,1.153.21.8
232.248.179.17,1.28.114.123
1.130.124.31,1.44.29.122
242.129.31.173,1.155.236.33
49.195.97.217,1.117.148.15
4.117.11.5,1.192.255.69
113.41.177.215,1.229.7.197
127.30.136.242,1.244.208.237
195.225.30.105,1.219.55.248
187.94.88.105,1.116.56.238
243.81.33.102,1.122.31.4
106.94.118.230,1.223.43.65
12.133.55.22,1.163.230.207
49.130.66.167,1.123.173.62
58.120.68.128,1.237.123.42
206.149.54.70,1.167.240.111
239.165.120.197,1.240.165.225
233.251.19.230,1.8.55.195
48.143.144.171,1.226.44.119
202.107.146.142,1.144.155.198
119.223.73.205,1.144.219.131
214.138.13.146,1.24.44.221
80.238.21.48,1.61.10.11
69.16.26.240,1.187.133.235
137.51.253.236,1.235.32.255
122.213.217.5,1.80.210.19
235.97.167.80,1.62.228.128
101.116.226.231,1.94.126.201
151.179.40.131,1.172.219.171
111.105.19.246,1.171.133.37
247.233.204.58,1.164.6.255
123.155.236.232,1.208.191.149
166.37.182.99,1.3.97.230
192.109.153.169,1.164.50.25
252.82.71.42,1.130.200.146
104.28.231.171,1.96.113.206
223.158.115.238,1.147.173.173
244.169.232.140,1.54.85.40
241.113.254.222,1.72.127.99
185.220.134.204,1.197.54.176
249.83.237.87,1.95.55.122
227.5.63.115,1.234.17.80
195.131.225.225,1.4.94.63
211.197.126.26,1.54.140.128
90.82.15.242,1.56.149.64
39.194.31.232,1.81.10.53
39.62.4.13,1.191.119.127
192.64.67.190,1.111.12.232
108.200.165.219,1.188.38.80
226.121.229.0,1.204.42.197
62.156.14.56,1.195.149.48
121.117.195.140,1.41.207.50
156.208.186.67,1.131.219.128
176.103.50.66,1.217.232.41
244.59.13.166,1.92.217.161
99.93.192.219,1.77.47.51
244.26.175.85,1.209.96.239
255.124.193.24,1.9.205.27
69.89.137.162,1.26.140.206
176.178.35.203,1.139.112.0
233.244.30.215,1.35.102.254
168.23.224.159,1.52.195.213
205.46.124.224,1.38.149.213
154.139.164.93,1.32.152.30
148.188.8.50,1.94.86.132
205.240.192.147,1.203.195.122
155.125.170.16,1.111.101.4
96.51.45.136,1.174.144.58
180.205.198.130,1.185.103.177
67.162.138.10,1.146.189.176
55.239.101.58,1.177.141.150
9.130.249.214,1.251.240.246
36.51.130.202,1.21.31.33
70.240.26.134,1.92.10.167
18.88.5.34,1.94.96.115
28.253.17.144,1.31.18.155
167.216.97.153,1.101.168.201
61.5.215.189,1.97.54.168
253.13.244.155,1.138.223.52
139.210.66.112,1.99.180.170
40.86.199.126,1.240.187.247
255.23.19.37,1.33.44.150
84.223.91.48,1.52.37.120
172.99.185.163,1.172.204.254
131.193.175.161,1.6.157.217
88.195.250.15,1.223.64.147
182.69.3.38,1.112.166.237
75.65.64.204,1.50.61.173
197.202.132.206,1.88.30.185
215.204.230.156,1.90.231.34
31.27.159.136,1.234.145.115
39.179.1.0,1.129.102.131
163.42.53.28,1.101.108.87
103.188.74.186,1.152.237.143
168.85.82.8,1.116.80.61
52.158.5.19,1.10.54.141
103.198.254.236,1.180.157.101
75.135.223.58,1.152.205.85
162.124.22.68,1.79.9.149
211.172.138.25,1.45.157.130
186.53.188.173,1.218.18.24
35.106.84.94,1.72.40.68
244.196.125.82,1.117.236.222
137.111.171.102,1.205.71.33
194.116.246.8,1.209.227.28
177.203.57.21,1.173.98.226
129.220.137.23,1.129.14.123
57.218.236.182,1.8.26.6
87.161.172.77,1.210.226.85
19.99.194.5,1.100.244.198
32.78.218.163,1.118.26.195
160.71.72.138,1.43.60.180
57.181.84.218,1.12.227.179
1.113.195.148,1.1.19.29
156.199.33.161,1.232.216.255
127.178.183.89,1.36.200.149
53.107.110.60,1.52.31.56
99.172.93.109,1.88.5.75
167.216.241.28,1.40.66.196
34.175.55.100,1.134.35.58
21.137.148.18,1.78.68.191
32.185.31.16,1.118.45.79
130.74.18.25,1.19.41.117
94.45.253.54,1.175.182.180
238.45.240.155,1.206.155.192
15.238.166.143,1.60.30.117
205.26.224.102,1.223.173.181
97.142.39.213,1.80.204.36
59.78.17.2,1.219.208.121
174.124.249.183,1.132.181.19
245.162.210.43,1.58.116.42
64.23.67.216,1.84.202.230
171.165.233.212,1.162.182.49
235.63.210.123,1.109.71.6
234.75.231.203,1.95.35.39
224.135.218.47,1.123.139.85
54.215.175.160,1.2.208.179
1.187.73.9,1.132.103.21
225.182.11.178,1.85.251.26
82.170.67.67,1.32.27.6
176.172.178.205,1.183.226.217
58.51.47.249,1.205.203.208
147.179.105.22,1.158.188.53
14.199.140.36,1.224.179.176
84.91.206.228,1.18.228.116
218.111.118.139,1.113.76.110
60.242.36.234,1.148.197.236
117.54.168.51,1.253.95.192
59.153.209.223,1.186.176.6
73.62.72.164,1.246.48.233
77.6.87.106,1.87.97.121
151.31.96.30,1.65.239.141
125.49.197.69,1.63.31.134
213.178.240.182,1.65.197.17
147.140.83.70,1.87.253.102
162.69.4.11,1.159.12.52
67.172.198.52,1.154.31.132
149.116.226.227,1.87.196.6
114.104.64.183,1.54.193.252
112.179.104.224,1.130.245.50
53.3.117.68,1.166.13.5
127.246.57.18,1.149.79.163
86.54.202.59,1.114.232.58
157.149.74.113,1.53.232.197
48.94.46.85,1.187.224.94
108.158.80.76,1.192.135.156
97.7.43.17,1.254.201.135
43.46.197.10,1.194.28.175
38.130.77.39,1.37.49.203
0.25.240.127,1.77.40.100
195.32.132.137,1.29.217.235
228.197.212.111,1.8.58.218
156.101.218.132,1.102.56.113
168.108.116.223,1.218.255.226
135.1.70.165,1.166.145.233
13.230.251.36,1.200.157.154
226.136.41.123,1.124.184.152
177.123.220.102,1.146.197.219
218.170.115.9,1.146.35.103
176.214.113.223,1.175.254.85
249.21.112.244,1.65.166.35
209.161.242.102,1.173.52.155
22.245.248.89,1.19.198.175
159.104.206.135,1.43.108.165
243.170.118.77,1.156.98.72
17.173.88.146,1.2.116.142
123.144.137.169,1.89.165.84
59.139.100.71,1.201.220.74
118.57.168.124,1.146.252.249
6.209.115.224,1.143.191.8
171.96.28.113,1.218.131.160
220.235.165.110,1.166.113.177
194.252.18.162,1.230.178.224
34.174.88.49,1.120.53.214
193.101.48.35,1.249.27.105
97.65.125.249,1.53.1.115
183.156.63.253,1.210.10.107
79.186.219.70,1.167.109.87
170.191.226.18,1.37.96.138
69.114.128.125,1.14.203.209
138.221.162.23,1.171.75.229
150.119.182.110,1.224.163.117
52.238.65.53,1.47.11.25
205.88.67.210,1.95.102.62
220.243.9.213,1.40.159.48
233.73.22.51,1.114.80.125
217.238.26.29,1.104.58.146
171.30.219.237,1.170.240.121
155.71.166.5,1.221.187.230
255.161.174.236,1.121.42.66
28.155.85.79,1.43.227.54
155.43.142.129,1.51.196.114
111.53.141.115,1.137.182.178
198.0.24.198,1.74.87.121
63.174.237.97,1.50.255.248
218.148.46.135,1.180.124.157
113.63.102.105,1.54.86.82
93.243.200.106,1.136.127.172
241.23.210.180,1.254.214.89
91.116.141.221,1.118.245.133
196.119.252.50,1.159.8.122
235.63.188.211,1.191.207.241
23.178.211.59,1.43.114.59
161.131.199.246,1.212.189.88
67.74.1.85,1.218.34.63
108.137.201.177,1.153.67.86
12.215.244.5,1.51.112.170
43.211.187.91,1.98.139.229
11.169.30.104,1.74.161.162
246.129.71.96,1.2.228.13
65.49.67.122,1.226.50.85
138.141.51.121,1.23.87.103
12.248.76.185,1.180.172.19
42.226.24.172,1.1.202.20
189.110.233.226,1.54.195.122
112.126.248.12,1.24.146.198
128.176.51.225,1.27.178.112
231.147.171.248,1.146.51.62
58.38.184.175,1.131.91.40
235.49.235.117,1.78.134.119
189.163.211.233,1.21.1.137
166.36.18.67,1.188.130.32
57.214.193.165,1.175.80.224
173.127.20.229,1.77.61.42
115.93.27.206,1.107.10.140
194.178.129.123,1.177.62.30
134.116.253.248,1.226.171.170
210.196.104.90,1.52.126.197
195.143.138.112,1.54.220.101
101.16.249.7,1.107.30.149
62.115.242.210,1.64.167.71
28.20.144.189,1.81.40.98
242.191.177.60,1.227.246.190
53.118.190.70,1.201.105.162
47.27.102.116,1.53.238.15
104.152.252.174,1.37.174.215
83.103.59.65,1.28.26.112
17.10.224.161,1.237.69.198
229.247.194.214,1.233.192.254
215.60.130.188,1.251.52.17
143.153.20.244,1.32.252.25
77.53.181.11,1.75.47.47
64.137.244.61,1.52.145.132
104.103.61.214,1.203.102.5
207.198.38.72,1.78.40.236
135.177.28.221,1.75.140.40
219.91.171.166,1.7.1.194
21.203.170.213,1.111.119.226
29.194.107.50,1.72.234.203
175.208.190.152,1.173.240.58
235.100.200.231,1.232.238.182
31.165.126.29,1.94.165.60
118.119.195.61,1.125.203.196
159.40.90.168,1.52.167.220
163.121.144.73,1.171.85.33
25.89.159.26,1.249.134.194
66.206.85.101,1.179.232.255
83.100.230.116,1.154.24.175
33.225.58.176,1.65.152.111
177.153.205.175,1.152.229.217
171.32.247.183,1.4.77.27
50.215.130.32,1.202.84.36
144.232.101.70,1.114.29.85
52.16.77.68,1.150.203.252
128.34.1.185,1.140.90.253
18.114.141.193,1.211.228.252
172.103.43.227,1.66.98.70
179.207.152.230,1.195.51.245
165.24.179.132,1.207.1.39
153.6.15.212,1.14.201.226
197.44.124.91,1.121.120.18
205.184.250.83,1.73.11.253
14.65.171.249,1.248.90.59
65.67.126.231,1.194.88.103
52.23.23.3,1.237.78.21
253.37.38.9,1.187.14.126
54.59.47.233,1.181.85.174
79.34.65.92,1.229.236.72
17.154.85.166,1.237.11.121
129.36.242.240,1.199.241.127
211.149.122.133,1.94.198.33
36.116.44.124,1.10.192.161
206.23.80.78,1.238.147.74
95.116.220.37,1.217.197.53
221.71.208.5,1.206.116.233
73.0.29.31,1.193.57.200
170.197.128.165,1.252.108.44
224.91.37.217,1.233.128.124
197.92.45.233,1.150.154.52
120.198.167.72,1.104.149.13
85.216.10.149,1.6.57.140
74.109.195.116,1.213.129.107
113.166.32.30,1.180.242.96
7.182.186.220,1.28.114.199
115.246.7.167,1.76.40.153
57.165.239.105,1.47.165.118
96.233.11.181,1.27.16.23
193.58.222.149,1.215.30.101
29.205.232.32,1.50.248.181
93.193.39.15,1.27.170.148
112.129.73.81,1.193.244.76
194.239.183.0,1.34.2.132
204.70.79.208,1.10.169.14
163.71.21.126,1.71.118.245
124.188.44.213,1.201.173.232
57.60.229.62,1.1.43.17
212.55.132.245,1.117.85.78
91.252.39.225,1.252.245.211
43.96.105.187,1.163.191.232
162.139.13.138,1.53.184.39
166.205.99.154,1.93.69.88
210.11.178.92,1.152.122.148
134.74.200.79,1.117.242.164
85.32.107.75,1.106.135.206
79.216.220.92,1.222.131.80
191.153.13.64,1.57.188.70
28.244.130.207,1.246.108.74
216.88.185.42,1.88.221.51
189.12.39.146,1.107.247.78
72.253.6.101,1.103.76.105
204.28.120.58,1.217.129.121
158.71.88.39,1.9.56.140
11.125.97.104,1.209.250.135
143.33.84.170,1.239.101.241
156.221.105.62,1.80.12.103
208.56.47.122,1.252.16.96
79.160.50.212,1.128.84.219
173.83.177.58,1.184.199.136
11.169.105.56,1.33.135.35
192.182.4.39,1.106.66.83
176.141.203.113,1.73.164.219
202.112.224.0,1.4.119.48
26.96.229.4,1.144.113.181
186.32.0.143,1.29.30.208
182.141.108.22,1.179.25.5
6.118.179.166,1.13.33.246
165.170.224.87,1.237.55.213
181.167.52.98,1.243.153.191
90.42.175.153,1.183.106.12
76.21.66.215,1.251.29.177
156.101.187.192,1.37.188.52
51.47.99.133,1.241.8.134
25.54.239.138,1.56.64.252
147.222.98.35,1.23.229.162
144.228.147.243,1.51.108.151
118.165.14.133,1.173.210.163
4.51.247.190,1.191.181.118
207.101.228.67,1.231.254.81
154.21.57.185,1.51.182.111
31.146.218.189,1.63.168.53
25.89.218.213,1.160.114.88
248.29.114.209,1.105.253.24
96.236.74.116,1.245.151.14
22.152.58.180,1.150.86.158
53.193.18.216,1.101.151.213
233.80.123.221,1.210.114.193
155.32.12.10,1.168.125.194
106.72.96.37,1.14.140.2
82.12.28.129,1.3.216.167
103.164.173.113,1.189.107.172
53.53.52.195,1.245.112.126
226.246.27.8,1.20.18.30
106.42.160.69,1.9.215.247
99.127.164.15,1.24.238.187
15.74.217.68,1.135.50.24
40.73.230.85,1.104.107.38
122.59.95.73,1.181.50.129
211.248.54.203,1.105.125.113
146.248.6.240,1.34.232.100
249.211.85.244,1.120.217.113
150.91.240.176,1.119.183.183
149.222.61.225,1.227.24.131
200.29.15.129,1.156.169.3
172.237.97.225,1.198.113.209
117.141.32.8,1.192.125.212
50.245.82.160,1.92.176.104
209.136.21.217,1.205.244.1
140.184.224.128,1.74.248.54
196.55.89.104,1.92.76.161
38.13.77.144,1.9.188.164
65.28.51.241,1.22.22.61
72.223.77.191,1.126.211.36
28.115.244.171,1.187.161.12
121.131.169.81,1.170.83.40
242.149.141.128,1.48.180.18
22.226.172.45,1.184.61.184
225.123.162.96,1.174.180.28
217.163.22.248,1.190.241.140
54.112.89.113,1.128.90.108
32.184.104.17,1.81.17.85
14.20.217.71,1.146.107.210
42.30.51.56,1.71.50.17
75.73.201.155,1.139.203.61
65.237.78.58,1.6.97.125
234.148.97.248,1.54.132.133
162.9.158.69,1.10.110.34
7.100.44.123,1.144.114.165
94.17.110.164,1.51.107.51
58.12.74.235,1.183.3.96
104.41.74.134,1.101.3.2
178.88.153.124,1.0.192.107
91.145.15.195,1.104.56.90
71.145.57.152,1.108.69.0
128.41.209.246,1.203.168.183
16.58.32.3,1.58.54.141
134.159.109.87,1.134.151.95
162.137.100.188,1.108.168.154
36.5.26.201,1.80.250.66
94.141.198.65,1.186.163.174
168.60.41.223,1.89.51.132
148.127.70.18,1.211.8.3
33.205.218.189,1.147.113.32
105.61.164.235,1.128.15.177
126.77.34.86,1.85.96.72
80.212.151.38,1.161.208.79
116.146.87.224,1.83.217.57
59.237.54.136,1.226.171.96
13.109.138.138,1.234.148.254
229.101.18.131,1.162.17.227
138.74.81.62,1.131.192.18
63.174.139.67,1.227.4.147
58.110.133.171,1.171.13.228
181.33.118.238,1.152.252.221
25.68.87.9,1.221.62.69
25.245.65.87,1.51.213.80
140.8.208.186,1.252.226.2
180.146.142.136,1.214.126.236
76.48.0.102,1.208.14.124
194.150.241.166,1.209.205.243
131.138.175.151,1.41.241.89
247.193.116.64,1.68.180.164
193.114.220.248,1.131.81.141
153.235.184.162,1.36.182.156
89.136.110.142,1.85.193.163
72.210.70.217,1.182.86.80
233.145.200.168,1.60.7.76
162.231.177.147,1.186.249.116
241.114.27.60,1.236.5.115
251.66.236.39,1.189.212.62
254.189.75.233,1.107.240.6
190.224.229.195,1.211.159.71
78.78.229.19,1.126.221.120
68.164.164.171,1.216.218.211
14.179.207.159,1.101.210.164
168.101.74.75,1.192.57.30
174.98.170.152,1.90.24.120
215.145.194.163,1.201.76.20
228.71.76.127,1.1.174.7
222.184.80.94,1.185.87.41
126.99.169.174,1.207.12.74
109.99.67.116,1.206.215.226
198.114.237.88,1.120.203.122
221.58.204.246,1.197.80.83
163.168.167.31,1.84.9.180
149.243.204.227,1.238.140.98
140.239.210.23,1.152.207.30
71.69.169.36,1.246.150.92
128.128.79.222,1.141.172.223
156.192.253.96,1.167.75.215
156.58.81.127,1.60.212.51
2.248.81.157,1.188.0.13
194.76.49.48,1.103.105.145
61.8.24.238,1.121.225.66
100.223.21.34,1.179.64.136
90.211.36.40,1.94.71.203
156.76.20.6,1.35.186.50
148.35.109.132,1.26.210.181
132.1.54.26,1.102.160.53
8.240.73.77,1.198.107.114
228.236.103.48,1.84.155.185
86.31.151.5,1.25.32.123
154.212.216.106,1.99.174.134
30.3.224.146,1.173.135.72
18.10.136.129,1.239.227.193
231.246.109.116,1.233.60.18
206.102.152.69,1.130.9.190
213.42.74.14,1.243.21.217
73.187.61.220,1.49.57.224
248.126.96.117,1.114.101.18
93.70.135.173,1.92.48.102
5.44.209.107,1.165.48.14
18.157.155.117,1.98.74.116
187.77.7.218,1.120.11.79
206.96.16.72,1.170.211.126
166.35.59.141,1.69.9.68
247.243.121.184,1.174.47.9
115.170.188.72,1.229.12.194
190.192.40.39,1.144.58.32
94.122.182.104,1.246.197.111
242.2.44.227,1.240.94.107
25.115.242.164,1.27.228.165
130.190.111.125,1.220.16.155
